Timestamp (s),GPU Frame Time (ms),CPU Frame Time (ms),Draw Calls,Video Memory (MB),FPS
19.025,0.000,0.000,0,0.00,1.0
19.225,0.000,104.460,10,244.58,1.0
19.270,41.807,95.830,10,244.58,1.0
19.407,41.745,95.830,10,244.58,1.0
19.505,44.440,95.830,10,244.58,1.0
19.627,35.344,95.830,10,244.58,1.0
19.740,35.593,95.830,10,244.58,1.0
19.854,35.529,95.830,10,244.58,1.0
19.967,35.580,95.830,10,244.58,1.0
20.080,35.447,51.248,10,244.58,20.0
20.192,35.255,51.248,10,244.58,20.0
20.311,34.887,51.248,10,244.58,20.0
20.424,34.690,51.248,10,244.58,20.0
20.534,34.555,51.248,10,244.58,20.0
20.643,33.799,51.248,10,244.58,20.0
20.750,33.277,51.248,10,244.58,20.0
20.854,32.089,51.248,10,244.58,20.0
20.955,31.485,51.248,10,244.58,20.0
21.057,31.615,40.444,10,244.58,28.0
21.191,31.237,40.444,10,244.58,28.0
21.295,31.470,40.444,10,244.58,28.0
21.398,31.308,40.444,10,244.58,28.0
21.501,31.607,40.444,10,244.58,28.0
21.602,31.673,40.444,10,244.58,28.0
21.705,32.089,40.444,10,244.58,28.0
21.809,32.154,40.444,10,244.58,28.0
21.913,32.296,40.444,10,244.58,28.0
22.018,32.373,40.444,10,244.58,28.0
22.121,31.897,36.136,10,244.58,29.0
22.224,32.028,36.136,10,244.58,29.0
22.325,31.341,36.136,10,244.58,29.0
22.430,30.761,36.136,10,244.58,29.0
22.532,31.368,36.136,10,244.58,29.0
22.632,31.203,36.136,10,244.58,29.0
22.732,30.764,36.136,8,244.58,29.0
22.831,30.882,36.136,7,244.58,29.0
22.927,29.320,36.136,7,244.58,29.0
23.052,28.809,36.518,7,244.58,30.0
23.176,28.976,36.518,7,244.58,30.0
23.293,23.731,36.518,7,244.58,30.0
23.414,19.804,36.518,7,244.58,30.0
23.532,16.507,36.518,7,244.58,30.0
23.645,13.797,36.518,7,244.58,30.0
23.759,12.290,36.518,7,244.58,30.0
23.869,12.164,36.518,7,244.58,30.0
23.979,12.613,36.518,7,244.58,30.0
24.096,13.215,35.035,7,244.58,53.0
24.215,13.365,35.035,7,244.58,53.0
24.324,13.578,35.035,7,244.58,53.0
24.433,13.509,35.035,7,244.58,53.0
24.538,13.406,35.035,7,244.58,53.0
24.644,13.007,35.035,7,244.58,53.0
24.745,12.801,35.035,10,244.58,53.0
24.845,12.662,35.035,10,244.58,53.0
24.960,12.638,35.035,10,244.58,53.0
25.070,12.525,17.189,10,244.58,67.0
25.182,12.518,17.189,10,244.58,67.0
25.296,12.543,17.189,10,244.58,67.0
25.413,12.626,17.189,10,244.58,67.0
25.526,12.757,17.189,10,244.58,67.0
25.639,12.596,17.189,10,244.58,67.0
