Timestamp (s),GPU Frame Time (ms),CPU Frame Time (ms),Draw Calls,Video Memory (MB),FPS
10.698,0.000,0.000,0,0.00,1.0
10.872,0.000,81.770,10,244.58,1.0
10.915,0.000,81.770,10,244.58,1.0
11.045,0.000,81.770,10,244.58,1.0
11.184,0.000,93.193,10,244.58,6.0
11.295,0.000,93.193,10,244.58,6.0
11.404,0.000,93.193,10,244.58,6.0
11.514,0.000,93.193,10,244.58,6.0
11.623,0.000,93.193,10,244.58,6.0
11.732,0.000,93.193,10,244.58,6.0
11.842,0.000,93.193,10,244.58,6.0
11.957,0.000,93.193,10,244.58,6.0
12.066,0.000,48.520,10,244.58,26.0
12.174,0.000,48.520,10,244.58,26.0
12.283,0.000,48.520,10,244.58,26.0
12.390,0.000,48.520,10,244.58,26.0
12.495,0.000,48.520,10,244.58,26.0
12.598,0.000,48.520,10,244.58,26.0
12.730,0.000,48.520,10,244.58,26.0
12.863,0.000,48.520,10,244.58,26.0
13.001,0.000,48.520,10,244.58,26.0
13.104,0.000,36.414,10,244.58,28.0
13.207,0.000,36.414,10,244.58,28.0
13.311,0.000,36.414,10,244.58,28.0
13.415,0.000,36.414,10,244.58,28.0
13.519,0.000,36.414,10,244.58,28.0
13.627,0.000,36.414,10,244.58,28.0
13.731,0.000,36.414,10,244.58,28.0
13.837,0.000,36.414,10,244.58,28.0
13.945,0.000,36.414,10,244.58,28.0
14.050,0.000,37.453,10,244.58,29.0
14.154,0.000,37.453,10,244.58,29.0
14.260,0.000,37.453,10,244.58,29.0
14.364,0.000,37.453,10,244.58,29.0
14.471,0.000,37.453,10,244.58,29.0
14.579,0.000,37.453,10,244.58,29.0
14.687,0.000,37.453,10,244.58,29.0
14.794,0.000,37.453,10,244.58,29.0
14.889,0.000,37.453,10,244.58,29.0
14.999,0.000,37.453,10,244.58,29.0
15.112,0.000,35.554,10,244.58,30.0
15.225,0.000,35.554,10,244.58,30.0
15.340,0.000,35.554,10,244.58,30.0
15.452,0.000,35.554,10,244.58,30.0
15.565,0.000,35.554,10,244.58,30.0
15.678,0.000,35.554,10,244.58,30.0
15.794,0.000,35.554,10,244.58,30.0
15.910,0.000,35.554,10,244.58,30.0
16.015,0.000,35.554,10,244.58,30.0
16.136,0.000,20.468,10,244.58,58.0
16.241,0.000,20.468,10,244.58,58.0
16.347,0.000,20.468,10,244.58,58.0
16.453,0.000,20.468,10,244.58,58.0
16.553,0.000,20.468,10,244.58,58.0
16.654,0.000,20.468,10,244.58,58.0
16.767,0.000,20.468,10,244.58,58.0
16.877,0.000,20.468,10,244.58,58.0
16.993,0.000,20.468,10,244.58,58.0
17.120,0.000,23.967,10,244.58,59.0
17.228,0.000,23.967,10,244.58,59.0
17.331,0.000,23.967,10,244.58,59.0
17.433,0.000,23.967,10,244.58,59.0
17.544,0.000,23.967,10,244.58,59.0
17.651,0.000,23.967,10,244.58,59.0
17.765,0.000,23.967,10,244.58,59.0
17.878,0.000,23.967,10,244.58,59.0
17.994,0.000,23.967,10,244.58,59.0
18.096,0.000,23.999,10,244.58,56.0
18.196,0.000,23.999,10,244.58,56.0
18.300,0.000,23.999,10,244.58,56.0
18.405,0.000,23.999,10,244.58,56.0
18.511,0.000,23.999,10,244.58,56.0
18.616,0.000,23.999,10,244.58,56.0
18.717,0.000,23.999,10,244.58,56.0
18.830,0.000,23.999,10,244.58,56.0
18.944,0.000,23.999,10,244.58,56.0
19.048,0.000,26.972,10,244.58,56.0
19.150,0.000,26.972,10,244.58,56.0
19.244,0.000,26.972,10,244.58,56.0
19.359,0.000,26.972,10,244.58,56.0
19.460,0.000,26.972,10,244.58,56.0
19.578,0.000,26.972,10,244.58,56.0
19.692,0.000,26.972,10,244.58,56.0
19.810,0.000,26.972,10,244.58,56.0
19.929,0.000,26.972,10,244.58,56.0
20.048,0.000,25.336,10,244.58,56.0
20.166,0.000,25.336,10,244.58,56.0
20.267,0.000,25.336,10,244.58,56.0
20.382,0.000,25.336,10,244.58,56.0
20.495,0.000,25.336,10,244.58,56.0
20.607,0.000,25.336,10,244.58,56.0
20.719,0.000,25.336,10,244.58,56.0
20.834,0.000,25.336,10,244.58,56.0
20.951,0.000,25.336,10,244.58,56.0
21.064,0.000,19.083,10,244.58,60.0
21.180,0.000,19.083,10,244.58,60.0
21.278,0.000,19.083,10,244.58,60.0
21.393,0.000,19.083,10,244.58,60.0
21.508,0.000,19.083,10,244.58,60.0
21.623,0.000,19.083,10,244.58,60.0
21.736,0.000,19.083,10,244.58,60.0
21.848,0.000,19.083,10,244.58,60.0
21.973,0.000,19.083,10,244.58,60.0
22.070,0.000,25.170,10,244.58,58.0
22.183,0.000,25.170,10,244.58,58.0
22.296,0.000,25.170,10,244.58,58.0
22.429,0.000,25.170,10,244.58,58.0
22.543,0.000,25.170,10,244.58,58.0
22.641,0.000,25.170,10,244.58,58.0
22.754,0.000,25.170,10,244.58,58.0
22.867,0.000,25.170,10,244.58,58.0
22.984,0.000,25.170,10,244.58,58.0
23.105,0.000,24.897,10,244.58,57.0
23.203,0.000,24.897,10,244.58,57.0
23.315,0.000,24.897,10,244.58,57.0
23.428,0.000,24.897,10,244.58,57.0
23.543,0.000,24.897,10,244.58,57.0
23.668,0.000,24.897,10,244.58,57.0
23.768,0.000,24.897,10,244.58,57.0
23.884,0.000,24.897,10,244.58,57.0
23.989,0.000,24.897,10,244.58,57.0
24.103,0.000,20.800,10,244.58,60.0
24.219,0.000,20.800,10,244.58,60.0
24.333,0.000,20.800,10,244.58,60.0
24.449,0.000,20.800,10,244.58,60.0
24.566,0.000,20.800,10,244.58,60.0
24.684,0.000,20.800,10,244.58,60.0
24.802,0.000,20.800,10,244.58,60.0
24.922,0.000,20.800,10,244.58,60.0
25.040,0.000,26.242,10,244.58,59.0
25.148,0.000,26.242,10,244.58,59.0
25.253,0.000,26.242,10,244.58,59.0
25.355,0.000,26.242,10,244.58,59.0
25.462,0.000,26.242,10,244.58,59.0
25.570,0.000,26.242,10,244.58,59.0
25.693,0.000,26.242,10,244.58,59.0
25.799,0.000,26.242,10,244.58,59.0
25.900,0.000,26.242,10,244.58,59.0
26.006,0.000,26.242,10,244.58,59.0
26.107,0.000,28.743,10,244.58,51.0
26.209,0.000,28.743,10,244.58,51.0
26.325,0.000,28.743,10,244.58,51.0
26.440,0.000,28.743,10,244.58,51.0
26.556,0.000,28.743,10,244.58,51.0
26.672,0.000,28.743,10,244.58,51.0
26.789,0.000,28.743,10,244.58,51.0
26.907,0.000,28.743,10,244.58,51.0
